No.	英単語	意味	処理用	例文1	例文1（日本語）
466.2	Venus	金星			
466.3	Mars	火星			
466.4	Jupiter	木星			
466.5	Saturn	土星			
466.6	Uranus	天王星			
466.7	Neptune	海王星			
466.8	Pluto	冥王星			
467	fiction	小説			
467.1	fictional	架空の，虚構の			
468	religion	宗教			
468.1	religious	宗教の，信心深い			
469	pollution	汚染			
469.1	pollute	〜を汚染する			
469.2	pollutant	汚染物質，汚染源			
470	wealth	富，財産			
470.1	wealthy	裕福な，豊富な			
471	document	文書			
472	profit	儲け，利益			
472.1	profitable	有益な，儲かる			
473	technique	技術			
473.1	technical	技術の，専門の			
474	emotion	感情			
474.1	emotional	感情的な，感動的な			
475	phenomenon	現象			
476	horror	恐怖，嫌悪感			
476.1	horrible	身の毛がよだつ，ひどい			
476.2	horrify	〜をぞっとさせる			
477	ladder	はしご			
478	billion	10億			
478.1	million	100万			
479	status	地位，身分			
480	youth	若者，青年期，若さ			
480.1	youthful	若々しい，若い，若者の			
481	confidence	自信，信頼			
481.1	self-confidence	自信			
481.2	confident	確信している，自信がある			
481.3	confidential	秘密の			
482	edge	周辺，縁，（町などの）はずれ			
483	household	家庭			
484	scholar	学者			
484.1	scholarship	奨学金			
485	survey	調査，〜を調査する			
486	vocabulary	語彙			
487	enemy	敵			
488	construction	建設			
488.1	construct	〜を建設する，（理論など）を構築する			
488.2	constructive	建設的な			
489	lecture	講義，（〜に）講義をする			
490	instruction	指示			
490.1	instruct	〜を支持する，指導する(=teach)			
490.2	instructor	指導者，教師			
490.3	instructive	ためになる，教育的な			
491	crisis	危機			
491.1	critical	重大な，機器の，批判的な			
492	instrument	道具			
493	crop	作物，収穫（量）			
494	weapon	兵器			
495	device	装置，手段，工夫			
495.1	devise	〜を工夫する，考案する			
495.2	appliance	（電気・ガス）器具			
496	path	道，〜への道(+to)			
496.1	avenue	大通り，〜街			
497	earthquake	地震			
497.1	quake	地震，揺れ，ふるえる			
498	stream	小川，流れ，流れる			
499	notion	概念，考え(=idea)			
500	yard	庭			
501	victim	犠牲者，被害者，いけにえ			
502	fuel	燃料			
503	ancestor	祖先			
503.1	ancient	古代の			
503.2	ancestry	（集合的に）先祖，血統			
504	soil	土壌			
505	debate	討論，（〜を）討論する			
506	crime	犯罪			
506.1	criminal	犯罪者，犯罪の			
507	colleague	同僚			
508	shelf	たな			
509	analysis	分析			
509.1	analyze	〜を分析する			
509.2	analyst	解説者，専門家			
510	universe	宇宙，世界			
510.1	universal	普遍的な，全世界の			
511	electricity	電気			
511.1	electric	電気の，電動の			
511.2	electronic	電子（工学）の			
511.3	electrical	電気に関する			
512	insect	昆虫			
513	web	クモの巣，網			
513.1	nest	（鳥・虫などの）巣			
514	storm	嵐			
515	plenty	十分な(+of)，（肯定文で）たくさん，多数，多量			
516	agriculture	農業			
516.1	agricultural	農業の			
517	gene	遺伝子			
517.1	genetic	遺伝子の			
517.2	genetics	遺伝学，遺伝的特徴			
518	evidence	証拠			
518.1	evident	明らかな			
519	consequence	結果			
519.1	consequently	その結果として			
520	infant	幼児			
520.1	infancy	幼年時代			
521	leisure	暇			
521.1	pastime	気晴らし，娯楽			
522	cell	細胞，電池			
523	talent	才能，才能のある人			
523.1	talented	才能のある			
524	advertising	広告，宣伝活動			
524.1	advertisement	広告，宣伝			
524.2	advertise	（〜を）宣伝する			
524.3	propaganda	（主義・思想の）宣伝			
525	extent	程度，範囲，限度			
526	garbage	ゴミ，生ゴミ，がらくた			
527	general	一般の，全体的な			
527.1	generally	一般に，たいてい			
527.2	generalize	（〜を）一般化する			
527.3	generalization	一般化			
528	various	さまざまな			
528.1	variety	多様（性），変化			
528.2	vary	変わる，さまざまである，〜を変える			
529	similar	Aに似ている(\textit{be} similar to A)			
529.1	similarity	類似（点）			
529.2	likewise	同じように，同様に			
530	complete	完全な，〜を完成する			
530.1	completely	すっかり，完全に			
531	sharp	急激な，鋭い			
532	expensive	高価な，金のかかる(=costly)			
532.1	expense	費用，経費，犠牲			
532.2	expenditure	支出			
533	political	政治的な			
533.1	politics	政治，政策，政治学			
533.2	politician	政治家			
534	aware	Aに気付いている(\textit{be} aware of A)，意識している			
534.1	awareness	意識，認識			
535	ancient	古代の			
535.1	ancestor	祖先			
536	medical	医学の，医療の			
536.1	medicine	薬，医学			
536.2	medication	薬物，薬剤(=medicine)，医薬，投薬（治療）			
537	essential	不可欠な，〜に不可欠な(+to)			
537.1	essence	本質			
538	huge	巨大な，寛大な			
539	terrible	ひどい，恐ろしい			
539.1	terrify	〜を恐れさせる			
539.2	terrified	（人が）おびえている，恐れる			
539.3	terrifying	恐ろしい			
539.4	terror	恐怖，テロ			
539.5	terrorism	テロリズム			
540	practical	実用的な，現実的な			
540.1	practically	ほとんど(=almost)，実際的に			
541	entire	全ての，完全な			
541.1	entirely	完全に			
542	favorite	一番好きな，お気に入りの物（人）			
543	comfortable	快適な			
543.1	comfort	快適さ，慰め，〜を慰める			
544	minor	小さい，重要でない			
544.1	minority	少数，少数派，少数民族			
545	typical	典型的な			
546	ideal	理想的な，理想			
547	principal	主要な，校長			
548	appropriate	適切な			
549	empty	空（から）の，〜からにする			
550	rapid	急速な			
550.1	rapidly	急速に			
551	mental	精神の，知能の			
551.1	mentality	思考方法，心的傾向			
552	excellent	すばらしい，優秀な			
552.1	excel	優れている，〜にまさる			
552.2	excellence	優秀さ			
553	convenient	便利な，都合がいい			
553.1	convenience	便利さ，便利な道具			
554	potential	潜在的な，可能性のある，潜在能力，可能性			
554.1	potent	強い効果を持つ			
555	financial	財政的な			
555.1	finance	財政			
556	enormous	ばく大な			
557	rare	珍しい			
557.1	rarely	めったに〜ない			
558	artificial	人工的な，不自然な			
559	tiny	ちっちゃな，ごく小さい			
560	considerable	かなりの			
560.1	considerably	かなり			
561	sensitive	敏感な，〜に敏感な(+to)			
561.1	sensible	賢明な，分別のある			
561.2	sensitivity	感受性，敏感さ			
562	intellectual	知的な，知識人			
562.1	intellect	知性			
562.2	intelligence	知能，知性，情報（部），諜報機関			
563	thirsty	のどが渇いた，渇望している			
563.1	thirst	渇き，渇望			
564	polite	礼儀正しい			
565	accurate	正確な			
565.1	accuracy	正確さ			
566	rude	失礼な，無作法な			
567	sufficient	十分な(=enough)			
568	urban	都会の			
569	temporary	一時的な			
570	primitive	原始的な，未開の			
571	permanent	永久の			
572	elderly	高齢の			
573	severe	厳しい，（痛みなどが）ひどい			
574	brief	簡潔な，短い			
575	mobile	流動的な，動きのある			
575.1	mobility	動きやすさ，流動性			
576	latest	最新の			
577	military	軍事的な，軍隊，軍部			
578	strict	厳しい			
579	solid	固体の，がっしりした，固体			
579.1	solidarity	団結，連帯			
580	stupid	ばかな			
581	biological	生物の，生物学的な			
581.1	biology	生物学			
581.2	biologist	生物学者			
582	probably	おそらく			
582.1	probable	ありそうな，起こりそうな			
582.2	probability	見込み，可能性			
583	hardly	ほとんど～ない			
584	immediately	すぐに			
584.1	immediate	目の前の，直接の，即座の			
585	eventually	ついに，結局			
586	frequently	しばしば			
586.1	frequent	よく起きる，高頻度の			
586.2	frequency	頻度			
587	extremely	非常に			
587.1	extreme	極端な，過激な，極端			
588	gradually	だんだん			
588.1	gradual	徐々の，段階的な			
589	instantly	すぐに			
589.1	instant	瞬間，瞬時の			
590	nevertheless	それにもかかわらず			
590.1	nonetheless	それにもかかわらず			
591	moreover	その上			
592	relatively	比較的，相対的に			
592.1	relative	相対的な，比較上の，親戚			
593	apparently	一見			
593.1	apparent	明らかだ，外見上の，うわべの			
594	definitely	絶対，はっきり，確かに，そのとおり			
594.1	definite	明確な，確実な			
594.2	indefinitely	漠然と			
595	largely	主に			
596	mostly	大部分は，大抵は			
597	approximately	およそ			
597.1	approximate	おおよその			
598	overnight	一晩，一晩中，一泊の			
599	accidentally	偶然に，誤って，うっかり			
599.1	accidental	偶然の，思いがけない			
600	despite	にもかかわらず（前置詞）			
601	proceed	進む，Vし始める(+to V)			
601.1	process	過程，経過			
602	ensure	～を確実にする，確保する，保証する			
603	interpret	〜を解釈する，〜を通訳する			
603.1	interpretation	解釈，通訳（すること）			
603.2	interpreter	通訳（する人）			
604	cease	Vしなくなる(+to V)，〜をやめる，終わる			
604.1	ceaseless	絶え間ない			
605	ban	（公式に）～を禁止する，禁止			
606	obey	～に従う，（規則など）を守る			
606.1	obedient	従順な，おとなしい			
606.2	obedience	服従			
607	eliminate	～を除去する，根絶する			
607.1	elimination	除去，根絶			
608	resist	～に抵抗する，（誘惑など）に耐える			
608.1	resistance	抵抗（力）			
608.2	resistant	抵抗する，抵抗力のある			
608.3	irresistible	抵抗できない，大変魅力的な			
609	accompany	（人）に同伴する，〜に付随する			
610	commit	（罪など）を犯す，〜を委ねる，委任する，（本気で）取り組む(+to)			
610.1	commitment	約束，責任，かかわり，関与，傾倒，献身			
610.2	commission	任務，依頼，委員会			
611	pursue	～を追求する，追う，（政策・仕事など）を続ける，実行する(=carry out)			
611.1	pursuit	追求，追跡			
612	demonstrate	～を明らかに示す(=show)，証明する(=prove)			
612.1	demonstration	デモ，実証，実演			
613	bet	きっと～だと思う，（金など）を儲ける			
614	ruin	～を台無しにする，破滅させる，廃墟(ruins)，荒廃，破壊			
615	threaten	～を脅迫する，おどす，〜をおびやかす			
615.1	threatening	脅迫的な，おびやかす			
615.2	threat	脅迫，おどし			
616	attach	AをBにくっつける(+A to B)，付属させる			
616.1	attachment	愛着，付属物，添付ファイル			
617	reverse	〜を反対にする，逆転する，逆（の），反対（の）			
617.1	reversal	逆転，反転			
618	restrict	〜を制限する，限定する			
618.1	restriction	制限（条件），限定			
619	compose	〜を組み立てる，（曲・文）を作る			
619.1	composition	構成，創作，作文			
619.2	composer	作曲家			
620	lean	寄りかかる，もたれる，〜を傾ける			
621	substitute	～を代わりに用いる，代わりになる，代用品，代理人			
622	trace	～の跡をたどる，（由来，出所など）を追跡（調査）する，突き止める，跡，足跡			
623	interrupt	〜を妨げる，中断する，口をはさむ			
623.1	interruption	妨害，中断			
624	confront	（人）の前に立ちふさがる，（障害など）に立ち向かう			
624.1	confrontation	対立，衝突，直面			
625	illustrate	〜を示す，説明する(=explain, show)，図解する			
625.1	illustration	例示，説明，イラスト，図			
626	arrest	〜を逮捕する，逮捕			
627	stimulate	〜を刺激する，〜を元気づける(=encourage)，〜を促す			
627.1	stimulus	刺激（物）			
628	assure	（〜を）保証する，信じさせる，安心させる(=reassure)			
629	consult	（専門家など）に相談する，（辞書など）を参照する			
629.1	consultant	顧問，コンサルタント			
630	depress	〜を憂鬱にさせる，落胆させる			
630.1	depressed	（人が）憂鬱な，落胆した			
630.2	depressing	（人を）憂鬱にさせる			
630.3	depression	憂鬱，落ち込み，不景気			
631	crash	激突する，墜落する，（音を立てて）壊れる，衝突事故，墜落，衝撃音			
632	inspire	（人を）奮起させる，やる気にさせる(=encourage)，ヒントを与える，（感情）を起こさせる			
632.1	inspiration	霊感，ひらめき，インスピレーション			
633	specialize	Aを専門にする(+in A)，専攻する，研究する(=major in A)			
633.1	specialized	専門的な			
633.2	specialist	専門家			
634	cultivate	〜を栽培する，（土地）を耕作する，（感情・能力など）を育む			
634.1	cultivation	耕作，栽培，（能力などの）養成，開発			
635	fulfill	（約束・夢）を果たす，〜を満たす			
635.1	fulfillment	達成（感）			
636	transmit	〜を送る，伝える，（病気など）をうつす，伝染させる			
636.1	transmission	伝達，伝導			
637	found	〜を創立する，設立する			
637.1	foundation	基礎，土台			
638	clap	（手など）をたたく，拍手する			
639	burst	破裂する，突然～しだす，破裂，突発			
640	bow	お辞儀する，屈服する(+to)，お辞儀			
641	dismiss	（考えなど）を無視する，（人）を解雇する，解散させる			
641.1	dismissed	解雇，解散，却下			
642	breed	〜を繁殖させる，繁殖する，〜を育てる，（悪いもの）を生み出す，品種			
643	prohibit	（法・団体が）～を禁じる，〜を妨げる(=prevent)			
644	oblige	〜を強いる，〜に義務付ける			
644.1	obligation	義務，恩義			
645	qualify	Aに適任である(+for A)，〜の資格を得る(+as)			
645.1	qualified	資格のある，有能な			
645.2	qualification	資格，技能			
646	invest	（金を）投資する，（金・時間など）を使う(+in)			
646.1	investment	投資，出資			
647	grasp	〜を理解する，つかむ，理解力，つかむこと，届く範囲			
648	collapse	崩壊する，つぶれる，倒れる，（価格などが）急落する，崩壊，挫折，卒倒，急落			
649	overlook	〜を見落とす，〜を見逃す，〜を見渡す			
650	accuse	〜を非難する，〜を告訴する			
650.1	accusation	非難，告訴			
651	frustrate	（人）を欲求不満にさせる，いらだたせる			
651.1	frustrated	（人が）欲求不満である			
651.2	frustrating	（人を）いらだたせる			
651.3	frustration	欲求不満，挫折			
652	deprive	AからB（機会・自由・睡眠など）を奪う(+A of B)			
653	astonish	〜を驚嘆させる			
653.1	astonishing	驚異的な			
653.2	astonished	驚いている			
654	register	〜を登録する，記録する，登録（表）			
654.1	registration	登録			
655	correspond	一致する(+to, with)，連絡しあう(+with)			
655.1	corresponding	相当した，対応する			
655.2	correspondence	連絡，一致，対応			
656	cast	～を投げる，（疑い，目）を向ける，（俳優）に役を与える，配役			
657	attribute	AはBのおかげだと思う，A（性質）がBにあると思う(+A to B)，Aの作品だと考えられる(\textit{be} attributed to A)，特質，性質			
658	neglect	〜を無視する，怠る，（子供など）の世話をしない，怠慢，無視			
658.1	negligent	怠っている			
659	starve	飢える，餓死する，（人）を飢えさせる			
659.1	starvation	餓死，飢餓			
660	resolve	（問題など）を解決する			
660.1	resolution	解決，決議，決心			
661	impose	AをBに課す(+A on B)，押し付ける			
662	convert	〜を転換する(=change)，改宗させる			
663	scare	〜を怯えさせる，こわがらす，恐怖，不安			
663.1	scared	（人が）怯えた，こわがった			
663.2	scary	（人を）こわがらせる，こわい			
664	constitute	〜を構成する，占める(=make up, account for)，～である(=be)，〜とみなされる			
665	appoint	〜を任命する，指名する，（会う日時・場所）を指定する			
665.1	appointment	（人に会う）約束，任命			
666	imply	～を（暗に）意味する，ほのめかす			
666.1	implication	影響(〜s)，効果(+for)，（隠れた）意味，暗示			
667	assign	（仕事・物）を割り当てる，（人）を任務に就かせる(+to V)			
667.1	assignment	宿題，（仕事などの）割り当て			
668	nod	頷く，うとうとする，居眠りする，会釈，うなずき			
669	elect	〜を選挙で選ぶ，（〜すること）を選ぶ(+to V)，AをBに選ぶ(+A B)			
669.1	election	選挙			
670	transfer	〜を移す，転勤する(\textit{be} transferred)，移転，譲渡			
671	rob	AからBを奪う，AからBを盗む(+A of B)			
671.1	robbery	盗難（事件），盗み			
672	capture	〜を捕らえる(=catch)，（注意など）を引きつける			
672.1	captive	捕らわれた，とりこ			
672.2	captivity	捕らわれの身			
673	undertake	（仕事など）を引き受ける，〜に取りかかる，〜を始める			
674	drown	おぼれ死ぬ，〜を溺死させる			
675	split	〜を割る，裂く，分裂する，割れる，裂け目，割れ目			
676	resort	A（手段）に訴える(+to A)，行楽地，リゾート，手段			
677	descend	下る，降りる，（祖先から）伝わる		When I saw the bear \enword{descend}ing, I was trembling .	私がクマが\jpword{降り}てくるのを見たとき、身震いした。
677.1	descent	家系，血統，降下			
677.2	descendant	子孫			
677.3	ascend	登る，上がる			
678	irritate	〜をいらだたせる，怒らせる			
678.1	irritating	（人を）いらいらさせる			
678.2	irritated	（人が）いらいらしている			
679	pronounce	〜を発音する，〜と言う，断言する			
679.1	pronunciation	発音			
680	equip	〜を装備させる，準備させる			
680.1	equipment	設備，装備			
681	cheat	いかさまをする，〜をだます			
682	emerge	現れる(=appear)，台頭する			
682.1	emergence	出現			
682.2	emergency	緊急事態			
683	devote	〜をささげる，AをBにささげる(+A to B)，（時間など）を費やす			
683.1	devoted	献身的な，熱愛する			
683.2	devotion	献身，愛情			
684	heal	（けがなど）を治す，治る			
684.1	healing	治療（法）			
685	urge	〜に強く迫る，〜を説得する，衝動，AにVするように説得する(+A to V)			
686	envy	〜をうらやむ，うらやみ，羨望の的			
686.1	envious	うらやんでいる			
687	chase	〜を追いかける，探し求める，追跡			
688	prompt	〜を促す，AにVするように促す(+A to V)，すばやい，敏速な			
688.1	promptly	すばやく			
689	withdraw	〜を引っ込める，引きこもる，退く，（預金など）を引き出す			
689.1	withdrawal	引っ込めること，撤退，撤回			
690	detect	〜を探知する，（誤り・病気など）を発見する(=discover)，検出する			
690.1	detective	刑事，探偵			
691	interfere	Aを邪魔する，Aに干渉する(+with A)			
691.1	interference	妨害，干渉			
692	kid	冗談を言う，からかう，子供			
693	launch	（ロケットなど）を打ち上げる，（事業など）を始める			
694	endanger	〜を危険にさらす			
694.1	danger	危険			
694.2	dangerous	（人に対して）危険な			
695	foster	〜を促進する，育成する			
696	diminish	減少する，衰える，〜を減らす			
697	spill	〜をこぼす，まく，流出			
698	infect	（人）に感染（伝染）する，（人）にうつす			
698.1	infection	感染			
698.2	infectious	感染性の			
699	stem	Aから生じる，Aに由来する(+from A)，（草の）茎，（木の）幹			
699.1	root	根，根付いている(\textit{be} rooted)			
700	tap	〜を軽くたたく，〜を開発（利用）する，（能力など）を引き出す，蛇口			
701	embrace	～を受け入れる，～を含む(=include)，〜を抱く，抱擁			
702	proportion	比率，つり合い，部分，規模			
703	contract	契約，契約する，縮まる			
703.1	contraction	短縮，収縮			
704	chest	胸			
704.1	breast	胸，乳房			
705	treasure	財宝，貴重品，〜を大事にする			
706	stock	株（式），在庫品，貯蔵品，〜を置いている			
707	facility	設備，施設			
707.1	facilitate	～を容易にする，促進する			
708	sum	金額，合計，要約，Aを要約する(sum A up)			
708.1	summary	要約			
708.2	summarize	～を要約する			
709	rank	地位，階級			
710	democracy	民主主義，民主国家			
710.1	democratic	民主的な			
710.2	democrat	民主党員，民主主義者			
711	emergency	緊急事態，非常の，救急の			
712	protest	抗議，抗議する			
713	immigrant	移民			
713.1	immigration	移住			
713.2	emigrate	移住する			
714	vehicle	車，乗り物，手段			
715	routine	決まりきった仕事，日課，決まりきった，型通りの			
716	stuff	物，こと，材料，〜を詰め込む			
717	row	列，並び，（ボートを）こぐ			
718	profile	プロフィール，人物紹介，横顔			
718.1	profiling	プロファイリング			
719	dawn	夜明け，始まり，わかりはじめる，始まる			
720	welfare	福祉，幸福，生活保護			
721	perspective	見方，遠近法			
722	enthusiasm	熱意，情熱			
722.1	enthusiastic	熱心な，熱狂的な(+about A)			
723	faith	信頼			
723.1	faithful	忠実な，信心深い			
724	occupation	職業，占領		Please tell me your \enword{occupation}.	あなたの\jpword{職業}を教えて。
724.1	vocation	天職，職業			
724.2	vocational	職業上の			
725	witness	証人，目撃者，〜を目撃する			
726	kingdom	王国，世界，領域			
727	equivalent	同等のもの，相当するもの(+of, to)，同等の(=equal)			
728	objective	目的，目標，客観的な			
729	pile	積み重ね，たくさんのA(a pile of A/piles of A)，〜を重ねる，〜を積む			
730	shelter	避難（所），避難する，〜を保護する			
731	trial	試み，裁判			
732	honor	名誉，光栄，〜を尊敬する，〜に栄誉を授ける			
732.1	honorable	立派な，名誉な			
733	territory	領土，縄張り，地域，領域			
734	frame	わく，額縁，骨組み，〜をわくにはめる，〜を組み立てる			
734.1	framework	枠組み			
735	border	国境地帯，境界，（〜に）接する			
735.1	cross-border	国境をまたぐ			
736	statistics	統計（学），統計の数字			
736.1	statistical	統計の，統計上の			
737	enterprise	企業，事業，企て			
738	context	文脈，状況，背景(=situation)			
739	load	荷物，積み荷，重荷，負担，（荷など）を積む，詰め込む			
740	grain	穀物，粒，少量			
741	review	再検討，入念な調査，批評，復習，〜を批評する，〜を復習する			
742	prejudice	偏見，先入観			
743	strain	負担，重圧，緊張，〜に無理な負担をかける，駆使する			
743.1	strained	緊張した			
744	trap	わな，計略，閉じ込められる，〜をわなにかける(\textit{be} trapped)			
745	temper	気性，気分(=mood)，平静な気分，短気			
746	slave	奴隷			
746.1	slavery	奴隷制度，奴隷の身分			
747	wound	傷，ケガ，〜傷つける			
747.1	wounded	負傷した，けがをしている			
748	divorce	離婚，〜と離婚する，〜を切り離す(=separate)			
749	tune	曲，メロディ，チャンネルを合わせる，〜を調和させる			
750	height	高さ，高地，最盛期，絶頂期			
750.1	heightened	高まった，増大した			
751	faculty	学部，教授スタッフ，能力(=ability)			
752	span	期間，長さ			
753	dimension	側面(=aspect)，要素(=factor)，次元，大きさ(〜s)			
754	version	型，～版，翻訳，説明			
755	parallel	類似（物），匹敵するもの(+to)，類似した，平行の，〜に似ている，匹敵する			
756	horizon	地平線，水平線，視野(〜s)			
756.1	horizontal	水平な			
757	acquaintance	知人，交際，知識			
758	burden	重荷，負担，〜を負わせる			
759	basis	基礎，根拠，方式，やり方(=way, manner)			
760	poison	毒，〜を毒殺する，〜を害する			
760.1	poisonous	有毒な，有害な			
761	constitution	憲法			
762	administration	経営，運営(=management)，行政，政府，〜局			
762.1	administer	～を管理（運営）する			
762.2	administrative	行政の，管理上の			
762.3	administrator	管理者，理事			
763	charm	魅力，まじない，お守り，（人）を魅了する			
763.1	charming	魅力的な，感じのいい			
764	organ	臓器，器官，オルガン			
764.1	organic	有機的な，生物の			
764.2	organism	生物			
765	prey	獲物，えじき，Aを捕まえて食べる(+on A)			
766	venture	冒険的事業，冒険，危険を冒して行く，〜を思い切ってする			
766.1	adventure	冒険			
767	mission	使命，任務，（宇宙）飛行任務，布教（団）			
767.1	missionary	伝道師，宣教師			
768	inquiry	調査，探究(+into)，質問，問い合わせ(=question)			
768.1	inquire	～を質問する			
769	award	賞，賞品，賞金(=prize)，〜を授与する			
770	strip	細長い一片，〜を裸にする，〜から取り除く			
771	distress	苦しみ，悲嘆，苦難，〜を苦しめる			
772	circulation	循環，流通，発行部数			
772.1	circulate	循環する，流通する			
772.2	circular	円形の，循環的な			
772.3	circuit	回路，サーキット			
773	shade	影，日陰，色合い，わずかな違い，ほんの少し(a+)(=a little)			
774	stereotype	典型的なイメージ，類型，固定観念			
775	client	依頼人，顧客			
776	output	生産高，出力			
777	lord	神，キリスト(Load)，領主，貴族			
777.1	landlord	家主，地主，主人			
778	convention	慣習，しきたり，会議，大会，協力			
778.1	conventional	平凡な，慣習的な			
779	mine	鉱山，〜を掘る			
779.1	mineral	鉱物，鉱石			
779.2	miner	鉱夫			
779.3	landmine	地雷			
780	craft	工芸，技術，～を巧みに作る			
780.1	aircraft	航空機			
780.2	spacecraft	宇宙船			
780.3	craftsman	職人			
781	core	中心，核心，主要な，中心的な			
782	stroke	脳卒中，発作，打撃，一撃，字面，一筆，～をなでる，さする			
783	frontier	国境，辺境，未開拓の分野，最前線			
784	peer	同僚，仲間，じっと見る			
785	vessel	血管，船，器			
786	disability	障害			
786.1	disabled	障害を持つ			
787	gravity	重力，引力，重大さ，重み			
787.1	gravitational	引力（重力）の			
788	ethic	倫理（学），価値観			
788.1	ethical	倫理的な，道徳的な			
789	terminal	終点，ターミナル，端末，末期の，終わりの，終点の			
789.1	terminate	～を終わらせる，終わる			
790	tide	潮流，潮の干満，傾向，時流			
791	abuse	虐待，乱用，〜を虐待する，〜乱用する			
792	guilty	有罪の(⇔innocent)，罪の意識がある，うしろめたい			
792.1	guilt	罪の意識，有罪			
793	vital	極めて重要な，必要な，活気のある			
793.1	vitality	生命力，活気			
794	fellow	仲間の，同僚の，男，やつ			
795	contemporary	現代の，同時代の，同時代人			
796	annual	年に1度の，恒例の，1年間の			
796.1	annually	年に1度			
797	accustomed	慣れた			
798	steady	しっかりした，変わらない，一定の			
798.1	steadily	着々と，絶えず			
799	dull	（人を）退屈させる，鈍い，頭が悪い			
800	keen	熱望して，熱中して，鋭い			
801	loose	緩い，たるんだ，解き放たれた，自由の			
802	delicate	微妙で難しい，慎重を要する，繊細な，上品な，か弱い			
803	internal	内部の(interior)，国内の(=domestic)			
804	casual	形式ばらない，気楽な，さりげない，偶然の，ふとした			
805	mature	成熟した，成熟する，大人になる(=grow)，〜を成熟させる			
805.1	immature	未熟な，大人げない			
805.1	premature	早すぎる			
805.2	maturity	成熟（期），円熟			
806	concrete	具体的な，形のある，コンクリート			
807	awful	ひどい，いやな(=terrible)，すごく			
807.1	awfully	ひどく			
807.2	awe	畏敬，おそれ多い気持ち			
808	exhausted	疲れ切っている			
808.1	exhaust	～を疲れさせる，使い切る，排気，排出			
808.2	exhausting	疲れさせる			
808.3	exhaustion	極度の疲労，枯渇			
809	overall	全面的な，全体的な，全体として，概して			
810	tight	引き締まった，きつい，厳しい，きつく，堅く			
810.1	tighten	～を引き締める，きつくする			
811	prime	最も重要な，主要な，第一の			
811.1	primary	第一の，主要な			
812	genuine	真の，本物の(=real)，心からの			
813	modest	控えめな，謙虚な(⇔arrogant)，質素な，少しの，わずかな			
814	intimate	親密な，親しい			
814.1	intimacy	親密さ			
815	minimum	最小限の，最低限の，最小限，最低限			
815.1	minimal	最小の，非常に少量の			
816	sophisticated	高度な，精巧な，洗練された，教養のある			
817	latter	後者の，後の，後半の			
817.1	later	もっと遅い，後で(⇔earlier)			
818	bitter	苦い，つらい，腹を立てた，いまいましい気持ちの			
819	peculiar	独特の，固有の，変な，妙な			
819.1	peculiarity	特性，特色			
820	passive	受動的な，消極的な，活発でない			
821	ethnic	民族的な，民族の			
822	noble	高貴な，気高い，貴族(〜s)			
823	vain	むだな，むなしい			
823.1	vanity	虚栄心，むなしさ			
824	innocent	無罪の，罪のない，無邪気な，うぶな			
824.1	innocence	無罪，無邪気			
825	underlying	根本的な，基礎となる，裏に潜んだ			
825.1	underlie	～の背後にある，〜の基礎となる			
826	alien	外国（人）の(=foreign)，異質な，なじみのない(=strange)，外国人，宇宙生物			
826.1	alienate	～を疎外する			
827	relevant	関連のある，適切な			
827.1	relevance	関連（性）			
828	inclined	Vしたい気がする，Vする傾向がある(\textit{be} inclined to V)			
828.1	inclination	（～したい）気持ち，傾向			
829	awkward	気まずい，やっかいな，扱いにくい，ぎこちない(=clumsy)			
830	brilliant	すばらしい，輝かしい，極めて優秀な			
831	desperate	（人・努力が）必死の，（事態が）絶望的な			
831.1	\textit{be} desperate to V	Vしたくてたまらない			
831.2	\textit{be} desperate for A	Aを死ぬほど欲しい			
831.3	desperately	必死に，ひどく			
832	refreshing	さわやかな，すがすがしい，清新な			
832.1	refresh	（人）の気持ちをさわやかにする，（記憶）を思い出させる			
832.2	refreshment	軽い飲食物，元気回復			
833	thrilled	（人が）とてもうれしい，わくわくしている			
833.1	thrill	わくわくする気持ち			
833.2	thrilling	（人を）わくわくさせるような			
834	inner	内側の，心の奥の			
834.1	the inner city	都心の貧困層が住む地域，スラム			
834.2	outer space	宇宙空間			
835	consistent	矛盾のない，一致した(+with)，一貫した，不変の			
835.1	consistency	一貫性			
836	plain	明白な，わかりやすい，簡素な，無地の，平野			
837	vivid	鮮やかな，鮮明な，（描写などが）生き生きとした			
838	miserable	みじめな，不幸な，不十分な			
838.1	misery	悲惨さ，みじめさ，不幸			
839	substantial	相当な，多大な，実質的な，重要な			
839.1	substance	物質，中身			
840	fond	Aが好き(\textit{be} fond of A)			
841	FALSE	まちがいの，いつわりの			
842	lazy	怠惰な，無精な，なまけものの，くつろいだ，のんびりとした			
843	precisely	正確に，まさに，ちょうど			
843.1	precise	正確な，まさに			
843.2	precision	正確さ			
844	meanwhile	その間に，一方では			
844.1	in the meantime	その間に			
845	altogether	完全に，まったく，全部で			
846	lately	最近，近頃			
847	barely	かろうじて，やっとのことで(=only just)，ほとんど～ない(=hardly)			
847.1	bare	むき出しの，何もない，ぎりぎりの，最小限の			
827.2	barefoot	裸足で			
848	scarcely	ほとんど～ない			
848.1	scarcely…when	…してすぐに～した			
848.2	scarce	乏しい，不十分な			
849	accordingly	それ相応に，それに応じて，したがって(=therefore)			
849.1	according to A	Aによると，Aに応じて			
850	deliberately	わざと，故意に(=intentionally)，慎重に			
850.1	deliberate	意図的な，慎重な			
851	beneath	～の下で，下の方に			
852	whereas	～だが一方，～であるのに			
